2019-08-28 08:28:01,554 [1] INFO  MainLog [(null)] - Logger MainLog initialized successfuly. Using configuration file C:\Users\cech.jiri\Documents\Visual Studio 2017\Projects\AppInfra\InfraEasySetup\bin\Debug\MainLog.log4net.
2019-08-28 09:11:01,792 [8] DEBUG MainLog [(null)] - old 4931 new 5051, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:12:01,795 [4] DEBUG MainLog [(null)] - old 5051 new 5171, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:13:01,797 [4] DEBUG MainLog [(null)] - old 5171 new 5291, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:14:01,798 [8] DEBUG MainLog [(null)] - old 5291 new 5411, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:15:01,801 [4] DEBUG MainLog [(null)] - old 5411 new 5531, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:16:01,804 [11] DEBUG MainLog [(null)] - old 5531 new 5651, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:17:01,805 [12] DEBUG MainLog [(null)] - old 5651 new 5771, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:18:01,807 [4] DEBUG MainLog [(null)] - old 5771 new 5891, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:19:01,820 [10] DEBUG MainLog [(null)] - old 5891 new 6011, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:20:01,823 [8] DEBUG MainLog [(null)] - old 6011 new 6131, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:21:01,825 [10] DEBUG MainLog [(null)] - old 6131 new 6251, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:22:01,826 [9] DEBUG MainLog [(null)] - old 6251 new 6371, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:23:01,831 [11] DEBUG MainLog [(null)] - old 6371 new 6491, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:24:01,833 [4] DEBUG MainLog [(null)] - old 6491 new 6611, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:25:01,834 [9] DEBUG MainLog [(null)] - old 6611 new 6731, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:26:01,836 [9] DEBUG MainLog [(null)] - old 6731 new 6851, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:27:01,838 [4] DEBUG MainLog [(null)] - old 6851 new 6971, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:28:01,840 [10] DEBUG MainLog [(null)] - old 6971 new 7091, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:29:01,852 [11] DEBUG MainLog [(null)] - old 7091 new 7211, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:30:01,854 [12] DEBUG MainLog [(null)] - old 7211 new 7331, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:31:01,855 [12] DEBUG MainLog [(null)] - old 7331 new 7451, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:32:01,857 [9] DEBUG MainLog [(null)] - old 7451 new 7571, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:33:01,859 [12] DEBUG MainLog [(null)] - old 7571 new 7691, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:34:01,861 [10] DEBUG MainLog [(null)] - old 7691 new 7811, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:35:01,863 [9] DEBUG MainLog [(null)] - old 7811 new 7931, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:36:01,864 [10] DEBUG MainLog [(null)] - old 7931 new 8051, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:37:01,867 [4] DEBUG MainLog [(null)] - old 8051 new 8171, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 09:38:01,869 [10] DEBUG MainLog [(null)] - old 8171 new 8291, Calling method:AppJCE.Vypis.Debug (line 19)
